eruptions	waiting
23.56356128	47.94833987
29.7234548	37.36884823
4.052712566	31.44829212
-15.78286625	48.57331737
32.66626955	32.67448462
39.06825753	33.88338306
27.05908094	12.01902428
1.526984653	36.21344682
31.74369511	42.39999043
33.02459161	11.22293308
-40.59748553	66.82929091
-29.21771448	42.05526343
-19.63872746	77.08513627
-18.65801675	53.76589103
-39.7083034	68.35309766
-81.72935451	47.57361535
-47.73076219	38.75990545
-55.5451843	36.95331652
-24.84212963	70.22411266
-27.21111923	34.90040825
-19.70811039	60.24907806
-57.93801102	56.10223469
-68.46655378	62.69731399
-40.34787529	58.49318658
-32.47478682	60.62643349
-56.77998121	58.41743356
-40.17878749	54.88019613
-36.99828527	69.81816649
-39.55948233	60.36963822
-61.77132539	55.03269987
-70.07745428	58.1940193
-57.62456079	44.67920304
-66.7039108	52.35602286
-35.84873008	89.5378203
-42.9504639	52.31377875
-43.02790478	59.94724296
-69.8658706	66.73701749
-45.35123683	43.53058652
-61.54375173	59.914584
-70.07989687	55.56205649
-35.26225908	48.83858184
-28.99121016	50.7625285
-33.13909616	85.60524172
-61.42208531	61.86899182
-17.56077543	62.58911754
-40.8929867	57.78978037
-21.44944668	76.12574998
-25.28958423	61.44103993
-50.48806699	39.41600955
-2.557146291	49.46157209
-35.54774143	67.71153804
-40.40998642	83.48810641
-39.83047858	60.29361972
-18.00847186	60
-3.253097971	66.6182751
-66.45611951	-6.818766341
-52.59693177	22.32077456
-55.18466012	-7.971093098
-56.48202126	17.90150962
-56.70226562	5.779092476
-68.87442969	30.90684617
-73.65133019	24.13636623
-71.41075119	-8.261019126
-41.65306732	24.85705314
-45.7300456	-9.640907242
-68.24732282	1.752677183
-77.72739406	16.11034778
-74.0935637	-1.011098748
-41.64862931	-5.398628376
-59.12220495	20.03324332
-37.87965038	27.91270593
-52.7249761	9.705937615
-26.12098403	1.514136819
-49.26422509	-12.01160054
-40.41395988	9.0967929
-56.78118829	17.58304517
-59.54355704	5.657235329
-75.80531656	10.02937902
-47.40016519	-1.344942221
34.52124426	-2.697481942
7.616777768	-7.310971476
35.34775691	6.310058046
-0.293017427	-10.37203879
-3.101672619	8.274317962
15.56392233	6.892747616
1.582060933	-3.904035686
11.34957055	5.063453129
-7.552699663	-7.998701021
-2.06766543	9.589795597
3.075998171	-5.911556592
-23.12300468	2.308666948
6.136381399	-4.255083784
-2.015575658	-4.656111497
6.767835109	2.654003573
3.044896737	9.00855573
-20.5494985	-2.7584644
-0.931560311	5.047235598
13.24123633	11.91521836
2.986117556	3.482430728
-20.81590736	3.714722998
1.209749423	2.538582495
13.27695144	-3.875943741
29.17756315	0.057344363
4.401001768	11.84658112
-18.34722337	2.016912576
-8.757350006	2.892452427
-14.83546239	13.35062287
-0.139439959	-0.91224936
-9.093507466	5
-15.51180681	6.054472964
-0.83262667	-11.93917782
34.12891423	9.949953886
-17.6614598	7.057857302
-0.481487104	14.49421416
5.00950486	4.727816419
11.03537553	0.929087802
-6.908736128	14.30412437
11.75194607	16.23712532
-20.57035919	4.802712677
-0.098413318	11.76582299
4.008139964	1.298327951
2.923659265	8.745817843
12.57027898	4.493224095
28.64401253	5
28.56763031	3.243566263
3.952192944	1.775181475
8.79434007	-8.232436365
-24.14093732	7.013516007
56.1141618	11.95152729
68.62826002	-9.616795604
72.81565495	-3.246615048
78.28267278	6.137726251
74.08037343	8.267984239
68.854793	10.08008067
74.90109009	-4.233799144
86.06362961	15.84668303
66.24131261	18.06053113
63.18707212	12.21365446
80.04732173	10
69.82776338	11.96867362
66.02262006	21.55115008
64.88072192	8.723620621
73.764178	6.727849984
67.33354909	7.762582021
76.39666604	-5.069600829
59.79037548	2.023367113
77.71929749	11.50047943
61.08558071	13.96895518
85.59608492	-0.128215969
73.05014135	11.83270982
67.98496374	10.69383263
68.88392055	-2.756846544
83.09610984	20.60502065
62.91465381	-5.19457393
77.74307061	6.223452128
67.67213478	3.604242875
56.24045553	19.28092993
58.34678901	12.90547182
69.99876108	10.07097762
70.0382811	10.73044684
58.11623551	13.1842451
79.44303616	14.60567647
83.41942801	13.84795906
70	21.53968773
73.18867242	4.002979387
53.55450793	19.49480927
83.67424399	23.67424399
78.16755719	-2.108901503
69.62891522	20.62647761
68.54696766	26.60823559
69.0165288	13.42977169
72.30133141	12.14602625
69.17139085	-1.849662846
80.8536724	20.8536724
53.35218809	4.590798012
87.02585409	1.69593611
63.36000058	-3.031732622
65.65105307	6.478292217
81.70084741	12.0631751
70.37781662	9.225361135
67.95798526	4.680369731
76.15854552	28.95405417
61.94487729	15.03339931
77.77705459	13.79312297
67.43980703	12.94516511
70.93985779	12.72954521
85.53185662	-2.577449495
69.62997741	6.986407854
74.45207954	7.218031942
68.9991875	11.73345809
61.79449034	22.63537684
67.12102492	0.583296809
65.29275749	5.454268748
64.87618564	17.88998222
75.29939598	-8.481190074
73.05590006	4.002458438
81.87598166	12.7417864
67.02189871	8.482581599
55.73472121	21.14525728
72.14722928	25.27833019
55.10758575	9.740051942
70.86460318	9.73566428
61.84935761	11.29093493
71.24926572	13.09204116
85.95143567	13.100645
63.26057957	9.172503221
57.06740526	7.486158236
78.24376489	-2.694284722
69.17138487	0.528885716
78.93326304	15.80132885
82.58791591	10
70.03553789	10.5082155
70.03438777	9.871663093
66.65960519	-8.944320346
77.37240055	13.75642571
70.65607052	5.857733749
68.67640117	-5.12880386
68.4593391	12.28412371
70.77668384	10.99410998
56.58923742	13.84547429
82.90246647	-3.836201321
67.44215104	-8.200041074
59.62816055	10
56.40627845	11.18929653
81.0488277	9.227390703
75.12938378	-4.89681217
64.0696957	-1.15328025
63.93898347	20.93436326
65.53061998	-6.679953312
70.17603297	7.987933999
68.58752696	7.905922598
69.32580971	12.35118097
57.92812018	13.69074404
70.89960895	-2.865007356
61.93844511	3.235552263
74.29050597	13.47438323
86.90813871	7.923941612
69.08237816	10.40855156
74.65180621	7.093228865
70.98308737	9.982840146
73.71504609	8.934727676
56.23727323	1.062380734
73.98881162	-4.886447617
64.48541347	2.941651122
69.66901887	9.576363471
58.5113282	21.09448139
80.33907501	13.16097245
70.15953164	12.28140874
69.90399413	15.50017268
73.08504275	6.805344709
64.93275197	2.763219829
81.18156578	7.623284823
75.91134741	1.557720973
76.61115474	24.17766709
76.65546137	10.58227742
86.64196261	7.364172067
77.48648219	24.08002519
58.0003941	-2.425955665
75.94428951	10.72986698
71.36497405	12.9271963
67.52542778	24.03399643
70.94218096	-7.977883725
65.82831961	18.55321234
58.4919024	-0.361937625
69.96853556	9.700635897
83.15776232	12.3200685
82.28280725	18.60051423
85.09527863	2.637540679
78.82412782	16.17872082
54.28415615	14.21104767
77.54987769	26.95730292
70.20890495	21.96815636
86.98193672	20.20377701
77.10977699	11.905059
79.77145136	5.4434974
86.17724652	20.10866555
65.78875745	21.57029382
57.95670684	20.10552285
79.26833432	-4.832435441
62.31476868	-2.790372799
74.88209678	18.12517351
69.18245693	11.0849163
68.42327332	12.96539159
66.90793072	-1.539759658
60.79303453	5.5094629
64.29477002	8.577526402
81.30187384	14.11354567
64.00152321	15.99847679
52.86865012	11.49879891
78.94721442	1.052785585
72.53461713	-8.034738019
64.69084888	1.164088723
60.77231623	-0.61523588
66.27260601	12.51415899
-62.97045321	-30.2315367
-54.96213144	-36.35123862
-46.61576075	-49.19297454
-42.37334274	-38.470261
-49.97082736	-30.04855142
-34.54304085	-31.62090645
-30.71776634	-23.77331681
-51.92030146	-14.36039968
-49.81413311	-29.61891641
-42.22403686	-44.02820885
-50.99770696	-28.46366601
-29.95908725	-27.33842626
-41.99579395	-12.02225887
-50.32356138	-11.46318104
-49.50346138	-37.10083309
-62.8162759	-29.3183957
-68.57238776	-31.45765669
-50.28544473	-35.44660993
-63.99060531	-18.26048825
-73.07384121	-25.43195565
-35.2780753	-21.50029281
-47.03988614	-48.68942334
-51.07325241	-22.36341227
-51.38971945	-34.54556749
-55.25917341	-36.04998694
-54.26872272	-12.87908829
-23.86630291	-25.42079603
-79.70349045	-24.81929383
-62.03510634	-44.8621186
-44.22330831	-45.87132998
-55.05941119	-35.8201868
-49.68264296	-31.37462438
-53.76600591	-29.73104338
-46.08664577	-25.16740999
-22.05930363	-28.76098825
-27.97337181	-30.61814239
-55.76867487	-23.59323749
-53.49439582	-35.38089769
-44.52769697	-35.86832654
-42.59092814	-37.94525684
-41.40254162	-41.83338627
-56.62165171	-18.97972093
-42.74096152	-34.71407471
-68.16497966	-28.95914859
-52.49505893	-35.35067113
-42.87549903	-39.1189454
-73.78526117	-30.84285107
-73.15035185	-33.83153282
-60.67559644	-18.55182442
-27.69012593	-26.74701514
-51.81653833	-26.97677253
-49.01233574	-48.84575667
-41.07070747	-44.28985516
-50.05080347	-29.89583746
-44.42179143	-19.05214926
-26.6543924	-33.44177376
-55.67363409	-26.45471994
-60.2887382	-28.03891725
-25.47490517	-34.57279422
-78.69370902	-25.9924562
-67.81849675	-32.32542143
-16.53181042	-34.6012644
-35.37748567	-23.6269879
-47.13351877	-26.58386069
-47.28308891	-18.23176518
-64.13058111	-27.96625562
-50.99946874	-28.96501983
-33.29093306	-26.08976286
-59.63189704	-41.08023006
-58.3482178	-30.2040871
-24.05147907	-28.46000529
-56.53113789	-25.25485057
-55.20535464	-34.21521308
-31.30340075	-26.09339334
-58.01088106	-18.55927618
-45.51710307	-40.06875137
-55.4946387	-22.1528427
-37.39316094	-43.05476401
-63.05865845	-19.04248451
-50.94064277	-31.39456025
-54.797158	-24.85567787
-14.75108131	-24.50959811
-53.38809895	-26.102438
-49.18303745	-27.8717398
-46.86929603	-41.68394629
-75.08937961	-35.74868705
-34.70058109	-18.04678391
